state,action_date,naics_description,transaction_description,total_dollars_obligated,current_total_value_of_award,potential_total_value_of_award,object,program
,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF HOUSTON DETENTION FACILITY,0.0,,566304901.26,,
TEXAS,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF HOUSTON DETENTION FACILITY,38224630.37,38224630.37,38224630.37,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF HOUSTON DETENTION FACILITY,0.0,,566304901.26,,
TEXAS,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF HOUSTON DETENTION FACILITY,38224630.37,38224630.37,38224630.37,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2019,FACILITIES SUPPORT SERVICES,IGF::CT::IGF HOUSTON DETENTION FACILITY,0.0,,566304901.26,,
TEXAS,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF HOUSTON DETENTION FACILITY,38224630.37,38224630.37,38224630.37,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
FLORIDA,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,12922036.76,12922036.76,12922036.76,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.2: Other services from non-Federal sources;25.4: Operation and maintenance of facilities,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
COLORADO,2018,FACILITIES SUPPORT SERVICES,"DETENTION SERVICES FOR AURORA, CO CDF",9097973.17,9097973.17,9097973.17,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF HOUSTON DETENTION FACILITY,0.0,,566304901.26,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2017,FACILITIES SUPPORT SERVICES,IGF::CT::IGF HOUSTON DETENTION FACILITY,0.0,,566304901.26,,
,2017,FACILITIES SUPPORT SERVICES,IGF::CT::IGF HOUSTON DETENTION FACILITY,0.0,,566304901.26,,
,2017,FACILITIES SUPPORT SERVICES,DHS BULK CLOSE OUT,,,,,
,2016,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),DETENTION SERVICES AT BROWARD FACILITY,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,CORRECTIONAL INSTITUTIONS,IGF::CT::IGF RIO GRANDE DETENTION CENTER,,,,,
,2018,FACILITIES SUPPORT SERVICES,DETENTION SERVICES IGF::CT::IGF,0.0,,322532388.6,,
,2017,SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),DHS BULK CLOSE OUT,,,,,
,2017,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,,,,,
,2017,SECURITY GUARDS AND PATROL SERVICES,DHS BULK CLOSE OUT,,,,,
,2017,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
,2017,FACILITIES SUPPORT SERVICES,DHS BULK CLOSE OUT,,,,,
,2017,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2017,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2017,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT THE SOUTH TEXAS DETENTION CENTER,,,,,
,2017,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2017,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2017,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,,,,,
,2017,SECURITY GUARDS AND PATROL SERVICES,DHS BULK CLOSE OUT,2869713.0,,10845294.96,,
,2017,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2017,SECURITY GUARDS AND PATROL SERVICES,DHS BULK CLOSE OUT,,,,,
,2017,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT THE SOUTH TEXAS DETENTION CENTER,,,,,
,2017,CORRECTIONAL INSTITUTIONS,DHS BULK CLOSE OUT,,,,,
,2017,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2022,CORRECTIONAL INSTITUTIONS,RIO GRANDE DETENTION CENTER,162677.4,,92715840.0,,
,2022,FACILITIES SUPPORT SERVICES,ADMIN MOD,0.0,,566304901.26,,
,2022,CORRECTIONAL INSTITUTIONS,EO14042,0.0,,570646753.28,,
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,FUNDING FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITIES.,28686234.95,28686234.95,28686234.95,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,ADD FUNDING FOR DETENTION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,64565753.95,64565753.95,64565753.95,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",63811970.64,63811970.64,63811970.64,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"INCREMENTALLY FUNDING FOR DETENTION SERVICES AT NORTHWEST DETENTION CENTER, TACOMA",43608439.84,43608439.84,43608439.84,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
COLORADO,2022,FACILITIES SUPPORT SERVICES,"INCREMENTAL FUNDING FOR DETENTION, TRANSPORTATION AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",43261453.11,43261453.11,43261453.11,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX FUNDING,53021711.94,53021711.94,53021711.94,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
FLORIDA,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,28579748.58,38034694.6,38034694.6,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2022,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,39322231.47,39322231.47,39322231.47,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"DE-OBLIGATE EXCESS FUNDS AND CLOSEOUT DETENTION AND TRANSPORTATION SERVICES AT NORTHWEST DETENTION CENTER, TACOMA WA",5348089.81,5348089.81,5348089.81,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX FUNDING,53021711.94,53021711.94,53021711.94,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"DE-OBLIGATE EXCESS FUNDS AND CLOSEOUT DETENTION AND TRANSPORTATION SERVICES AT NORTHWEST DETENTION CENTER, TACOMA WA",64080701.07,64080701.07,64080701.07,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;OPTN: FIELD IS OPTIONAL PRIOR TO FY21
,2022,SECURITY GUARDS AND PATROL SERVICES,THIS MODIFICATION IS TO EXTEND DESERT VIEW ANNEX FOR 1 YEAR,0.0,,2283719987.22,,
COLORADO,2022,FACILITIES SUPPORT SERVICES,"INCREMENTAL FUNDING FOR DETENTION, TRANSPORTATION AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",43261453.11,43261453.11,43261453.11,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,SECURITY GUARDS AND PATROL SERVICES,"THIS MODIFICATION IS TO APPROVED REQUEST FOR EQUITABLE ADJUSTED (REA) IAW WAGE DETERMINATION, CHANGE DETENTION BED RATES AND ON-CALL GUARD SERVICE RATES.",0.0,,1603571970.8,,
TEXAS,2022,CORRECTIONAL INSTITUTIONS,FUNDING FOR RIO GRANDE FACILITY WITH GEO GROUP UNDER DOJ NUMBER ODT-7-C-0003. (POP 4/1/22 - 3/31/23)  COR:  JOSE LONGORIA,1100174.32,1100174.32,1100174.32,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,FACILITIES SUPPORT SERVICES,"TO INCORPORATE REVISED STAFFING PLAN FOR DETENTION AND TRANSPORTATION SERVICES AT NORTHWEST ICE DETENTION CENTER, TACOMA WA",0.0,,748439695.88,,
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,ADD FUNDING FOR DETENTION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,44033953.95,44033953.95,44033953.95,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,FACILITIES SUPPORT SERVICES,"TO INCORPORATE CBA FOR DETENTION AND TRANSPORTATION SERVICES AT NORTHWEST ICE DETENTION CENTER, TACOMA WA",0.0,,748439695.88,,
,2022,CORRECTIONAL INSTITUTIONS,EO14042,0.0,,564052290.6,,
TEXAS,2022,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX FUNDING,53021711.94,53021711.94,53021711.94,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,INCREMENTAL FUNDING FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITIES.,15167083.9,15167083.9,15167083.9,11.8: Special personal services payments;25.4: Operation and maintenance of facilities;25.8: Subsistence and support of persons;31.0: Equipment,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,0.0,,202775604.52,,
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"INCREMENTALLY FUNDING FOR DETENTION SERVICES AT NORTHWEST DETENTION CENTER, TACOMA",32948039.84,32948039.84,32948039.84,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,CORRECTIONAL INSTITUTIONS,DETENTION SERVICES FOR RIO GRANDE DETENTION CENTER,5186856.24,5186856.24,5186856.24,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
FLORIDA,2022,SECURITY GUARDS AND PATROL SERVICES,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,28579748.58,38034694.6,38034694.6,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
TEXAS,2022,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,39322231.47,39322231.47,39322231.47,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
COLORADO,2022,FACILITIES SUPPORT SERVICES,"INCREMENTAL FUNDING FOR DETENTION, TRANSPORTATION AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",43261453.11,43261453.11,43261453.11,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;25.6: Medical care,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,CORRECTIONAL INSTITUTIONS,DETENTION SERVICES FOR RIO GRANDE DETENTION CENTER,4929401.24,4929401.24,4929401.24,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"INCREMENTALLY FUNDING FOR DETENTION SERVICES AT NORTHWEST DETENTION CENTER, TACOMA",27649320.36,27649320.36,27649320.36,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
,2022,FACILITIES SUPPORT SERVICES,CORRECT PRISM ODC CLIN TO ALLOW SYSTEM TO ADD FUNDING AGAINST ASK ORDERS,0.0,,748439695.88,,
TEXAS,2022,FACILITIES SUPPORT SERVICES,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,39322231.47,39322231.47,39322231.47,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
WASHINGTON,2022,FACILITIES SUPPORT SERVICES,"CHANGING PROGRAM OFFICE POCS, DE-OB AND RE-OB OF MONE FROM $10 SNACKS TO $5 SNACKS FOR NORTHWEST DETENTION CENTER TACOMA",24671901.83,24671901.83,24671901.83,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities;26.0: Supplies and materials,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
CALIFORNIA,2022,SECURITY GUARDS AND PATROL SERVICES,TO ADD FUNDING FOR DETENTION SERVICES IN THE LOS ANGELES AREA OF RESPONSIBILITY,44033953.95,44033953.95,44033953.95,21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS
TEXAS,2022,CORRECTIONAL INSTITUTIONS,SOUTH TEXAS DETENTION COMPLEX FUNDING,53021711.94,53021711.94,53021711.94,11.8: Special personal services payments;21.0: Travel and transportation of persons;25.4: Operation and maintenance of facilities,0001: IMMIGRATION AND CUSTOMS ENFORCEMENT (DIRECT);0005: CAS - ENFORCEMENT AND REMOVAL OPERTIONS;0005: CAS - IMMIGRATION AND CUSTOMS ENFORCEMENT
,2017,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2017,SECURITY GUARDS AND PATROL SERVICES,DHS BULK CLOSE OUT,,,,,
,2017,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT THE SOUTH TEXAS DETENTION CENTER,,,,,
,2017,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2017,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
,2017,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT THE SOUTH TEXAS DETENTION CENTER,,,,,
,2017,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2017,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2017,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,,,,,
,2017,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2017,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2017,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2017,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
,2017,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2017,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2017,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2017,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT THE SOUTH TEXAS DETENTION CENTER,,,,,
,2016,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,,,,,
,2016,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT THE SOUTH TEXAS DETENTION CENTER,,,,,
,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,204406178.45,,
,2016,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT THE SOUTH TEXAS DETENTION CENTER,,,,,
,2016,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
,2016,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT THE SOUTH TEXAS DETENTION CENTER,,,,,
,2016,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,,,,,
,2016,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,,,,,
,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,204194420.89,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,"DETENTION, FOOD AND TRANSPORTATION SERVICES",,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2016,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2018,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",0.0,,299228449.45,,
,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,204190580.89,,
,2016,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT THE SOUTH TEXAS DETENTION CENTER,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,0.0,,204406178.45,,
,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF HOUSTON DETENTION FACILITY,0.0,,566304901.26,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,"IGF::CT::IGF DETENTION, FOOD AND TRANSPORTATION SERVICES",0.0,,747158889.7,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,IGF::CT::IGF DETENTION SERVICES AT BROWARD TRANSITIONAL CENTER,,,,,
,2016,OTHER INDIVIDUAL AND FAMILY SERVICES,IGF::CT::IGF,,,,,
,2016,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT THE SOUTH TEXAS DETENTION CENTER,,,,,
,2016,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2016,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",,,,,
,2016,FACILITIES SUPPORT SERVICES,DETENTION SERVICES AT THE SOUTH TEXAS DETENTION CENTER,,,,,
,2018,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",0.0,,295967645.31,,
,2018,FACILITIES SUPPORT SERVICES,"DETENTION MANAGEMENT/MEDICAL/TRANSPORTATION FOR AURORA, CO GEO GRP COCA.",0.0,,295967645.31,,
,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF HOUSTON DETENTION FACILITY,0.0,,566304901.26,,
,2016,CORRECTIONAL INSTITUTIONS,IGF::CT::IGF RIO GRANDE DETENTION CENTER,,,,,
,2018,FACILITIES SUPPORT SERVICES,IGF::CT::IGF HOUSTON DETENTION FACILITY,0.0,,566304901.26,,
